name,1,2,3,4,5,6,7,8,9,10
mongo Create,0.001138088,0.00144477,0.001371229,0.001417309,0.001400553,0.001419171,0.00078941,0.000793134,0.000792669,0.000814546
mongo Read,0.001633797,0.001679825,0.001647244,0.001620713,0.001618385,0.0016128,0.001697978,0.001660741,0.00160256,0.001563927
mongo Update,0.001722938,0.001707286,0.001734749,0.001722938,0.001725905,0.001744058,0.001722182,0.001706356,0.001719854,0.001723113
mongo Delete,0.002901643,0.00288256,0.002758749,0.002654952,0.002755956,0.002815069,0.002779229,0.002746646,0.002727563,0.002768989
redis Create,0.000437294,0.000470109,0.000422632,0.000429149,0.000433804,0.000433339,0.000437294,0.000441716,0.000434269,0.000433338
redis Read,0.000528757,0.000417513,0.000438923,0.000443171,0.000433804,0.000422633,0.000431011,0.000443171,0.000444044,0.000428683
redis Update,0.000362641,0.000338851,0.000324422,0.000429149,0.000416582,0.000422168,0.000295098,0.000304407,0.000422633,0.000310458
redis Delete,0.000452887,0.000479883,0.000417512,0.000429149,0.000417978,0.000420771,0.000444974,0.000407738,0.000438148,0.000472436
cassandra Create,0.004537353,0.003885148,0.005032028,0.004006166,0.004964072,0.004923577,0.004978966,0.00398429,0.003982893,0.005079039
cassandra Read,0.003594239,0.004032232,0.003978239,0.003942864,0.003646835,0.00398941,0.003962413,0.003884857,0.003932624,0.003884857
cassandra Update,0.003766923,0.003950778,0.005048319,0.003875374,0.004188573,0.002915607,0.005111155,0.00386141,0.004958951,0.004208639
cassandra Delete,0.003126457,0.004924973,0.003132043,0.005926631,0.003992668,0.003913541,0.004994792,0.004977105,0.004970122,0.004033629
mssql Create,0.001598662,0.001598662,0.001861818,0.001637469,0.001664465,0.001567185,0.001607214,0.001622574,0.001509934,0.001318633
mssql Read,0.001926109,0.001813411,0.001953978,0.001997265,0.001923258,0.001841803,0.001993076,0.002013556,0.001926109,0.001872523
mssql Update,0.001526159,0.001717526,0.00155229,0.001526159,0.001526159,0.00149597,0.001500626,0.001461062,0.001468509,0.001487127
mssql Delete,0.001477934,0.001542981,0.001510865,0.001412189,0.001542982,0.0015104,0.001450356,0.001375418,0.001477934,0.001478284
mysql Create,0.003915248,0.004594036,0.003877236,0.003945657,0.003782282,0.003321017,0.003961483,0.003821846,0.003958224,0.003975447
mysql Read,0.001717993,0.001464785,0.001394036,0.001350749,0.001351214,0.001434066,0.001441978,0.001511331,0.001509469,0.001463958
mysql Update,0.004733672,0.004765788,0.004710865,0.004499548,0.005380187,0.004757876,0.004567039,0.004733672,0.004610326,0.004577745
mysql Delete,0.004068537,0.004467897,0.004684799,0.003845584,0.00415325,0.004273337,0.004619635,0.005554268,0.004929163,0.005257308
